yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 312 11 08  58430     33.7551884748710   4.200554E-013     29.6250752901128        -368659.58396      18.2360         0.00 
nGRPmax
   1756
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
  236   236    1547438  52234.096218  58430.6045612988160     5.11     5.11          1     -0.01000  142253.049959   51773.049960
  237   237    1547476  52235.379332  58430.6045761496830    14.92    18.53          3      0.00231  142254.332994   51774.332995
  238   238    1547573  52238.653599  58430.6046140462850     6.37     7.38          2      0.00267  142257.607060   51777.607060
  239   239    1547741  52244.324259  58430.6046796789250    10.16    14.15          3     -0.00372  142303.277370   51783.277370
  240   240    1547816  52246.855995  58430.6047089814270     5.09     5.74          2     -0.00089  142305.808949   51785.808950
  241   241    1548060  52255.092353  58430.6048043096320     8.14     9.14          2      0.00169  142314.044800   51794.044800
  242   242    1548515  52270.450806  58430.6049820695170     7.16     7.79          2     -0.00331  142329.402305   51809.402305
  243   243    1549065  52289.016406  58430.6051969491460    11.51    11.51          1      0.00367  142347.966760   51827.966760
  244   244    1549158  52292.155445  58430.6052332806140     6.98     6.98          1     -0.00214  142351.105604   51831.105605
  245   245    1549588  52306.670160  58430.6054012750080     6.77     6.77          1     -0.00289  142405.619424   51845.619425
  246   246    1550080  52323.277750  58430.6055934924670     6.60     7.17          2     -0.00211  142422.225989   51862.225990
  247   247    1550214  52327.800869  58430.6056458433920     9.71    11.70          2     -0.00444  142426.748829   51866.748830
  248   248    1550379  52333.370698  58430.6057103090050     6.28     8.57          2      0.00203  142432.318314   51872.318315
  249   249    1551163  52359.834725  58430.6060166056060     7.54    11.64          3      0.00033  142458.780709   51898.780710
  250   250    1551293  52364.222846  58430.6060673940480     5.51     5.51          1     -0.00136  142503.168559   51903.168560
  251   251    1551574  52373.708186  58430.6061771780860     6.37    16.46          4      0.00239  142512.653315   51912.653315
  252   252    1551846  52382.889508  58430.6062834433790     5.11     7.32          2     -0.00044  142521.834069   51921.834070
  253   253    1551890  52384.374794  58430.6063006341890     5.71     9.14          3      0.00125  142523.319264   51923.319265
