yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2017 221 08 09  57974     33.7386455638600   4.196976E-013     29.6396012136058        -368706.86500       5.4986         0.00 
nGRPmax
    461
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
  202   202    2155182  72712.973804  57974.8415853449600    11.37    13.21          2      0.40892  201544.779095   72944.779095
  203   203    2158492  72824.648525  57974.8428778764540    28.90    32.60          2      0.40028  201736.444919   73056.444920
  204   204    2159569  72860.985135  57974.8432984390660     6.09     6.09          1      0.40178  201812.778634   73092.778635
  205   205    2160790  72902.180231  57974.8437752341500     5.97     6.19          2      0.40706  201853.970449   73133.970450
  206   206    2160994  72909.062805  57974.8438548935680     5.72     8.74          2      0.40344  201900.852475   73140.852475
  207   207    2165216  73051.507506  57974.8455035590910     6.74     8.99          2      0.40392  202123.285829   73283.285830
  208   208    2166635  73099.382869  57974.8460576721020   124.39   138.91          3      0.40931  202211.157380   73331.157380
  209   209    2169011  73179.545834  57974.8469854841860     5.81     8.60          2      0.40544  202331.313959   73411.313960
  210   210    2169067  73181.435269  57974.8470073526530    11.63    11.63          1      0.40733  202333.203244   73413.203245
  211   211    2169120  73183.223417  57974.8470280488060     7.22     7.22          1      0.40742  202334.991250   73414.991250
  212   212    2171298  73256.706234  57974.8478785443710    11.45    13.65          2      0.40669  202448.468215   73488.468215
  213   213    2175043  73383.057416  57974.8493409423230    27.65    30.71          2      0.40192  202654.809334   73614.809335
  214   214    2176065  73417.538037  57974.8497400235780     6.36    14.68          4      0.39300  202729.287209   73649.287210
  215   215    2176092  73418.449165  57974.8497505690370    27.08    29.84          3      0.39828  202730.198264   73650.198265
  216   216    2178857  73511.736913  57974.8508302883460    12.49    16.68          3      0.40739  202903.478585   73743.478585
  217   217    2179057  73518.484345  57974.8509083836290    27.59    32.81          3      0.39858  202910.225479   73750.225480
  218   218    2181341  73595.543401  57974.8518002708480    17.97    21.51          2      0.39617  203027.278399   73827.278400
  219   219    2183202  73658.331460  57974.8525269844860    18.30    23.00          3      0.40750  203130.061459   73890.061460
  220   220    2184825  73713.089105  57974.8531607535360     6.31     7.71          2      0.40061  203224.814744   73944.814745
  221   221    2186452  73767.982065  57974.8537960887170     8.31    10.37          2      0.40456  203319.703334   73999.703335
  222   222    2189325  73864.913222  57974.8549179771010     8.86     9.04          2      0.40275  203456.626774   74096.626775
  223   223    2189428  73868.388353  57974.8549581985280    10.08    10.39          2      0.40433  203500.101630   74100.101630
  224   224    2191244  73929.657761  57974.8556673351940     7.02     9.16          2      0.40347  203601.366160   74161.366160
  225   225    2191743  73946.493121  57974.8558621889020     6.23     9.33          2      0.39636  203618.200179   74178.200180
  226   226    2194999  74056.346490  57974.8571336399360    11.97    17.13          3      0.40328  203808.044804   74288.044805
  227   227    2196945  74122.001806  57974.8578935394180     5.84     8.91          2      0.39886  203913.694894   74353.694895
  228   228    2197505  74140.895445  57974.8581122157950     6.91     6.91          1      0.39842  203932.587029   74372.587030
  229   229    2204298  74370.082545  57974.8607648442750    12.96    13.53          2      0.40639  204321.755890   74601.755890
  230   230    2206355  74439.483052  57974.8615680908800     6.29     8.72          2      0.40769  204431.150875   74671.150875
  231   231    2209707  74552.575076  57974.8628770263420     6.93    11.52          3      0.40725  204624.233900   74784.233900
  232   232    2210507  74579.565914  57974.8631894203010     6.16     8.26          2      0.40417  204651.222590   74811.222590
  233   233    2211448  74611.314105  57974.8635568762240     5.88     6.60          2      0.40686  204722.968254   74842.968255
  234   234    2214125  74701.632486  57974.8646022278530    11.64    20.31          4      0.40531  204853.279450   74933.279450
  235   235    2214333  74708.650109  57974.8646834503420    29.04    34.13          2      0.40453  204900.296514   74940.296515
  236   236    2214609  74717.962050  57974.8647912274300     9.54     9.54          1      0.40647  204909.607715   74949.607715
  237   237    2216058  74766.849299  57974.8653570520700    14.36    19.11          3      0.40369  204958.491074   74998.491075
  238   238    2220413  74913.781228  57974.8670576530940    20.12    27.63          3      0.40342  205225.411315   75145.411315
  239   239    2221815  74961.082961  57974.8676051268610    13.64    15.74          2      0.40661  205312.709285   75192.709285
  240   240    2224072  75037.230888  57974.8684864686210    17.67    18.77          2      0.39869  205428.851154   75268.851155
  241   241    2224555  75053.526904  57974.8686750799100     7.48    10.75          2      0.40567  205445.145875   75285.145875
  242   242    2225431  75083.082150  57974.8690171545220     7.00    14.44          4      0.41069  205514.698770   75314.698770
  243   243    2229840  75231.835940  57974.8707388418940     6.98     9.91          3      0.40961  205743.440730   75463.440730
