yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2017 221 08 09  57974     33.7386455638600   4.196976E-013     29.6396012136058        -368706.86500       5.4986         0.00 
nGRPmax
   7372
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
  162   162    1802035  60798.248551  57974.7036834322940     9.62    12.14          2     -0.00289  165711.005225   61031.005225
  163   163    1802100  60800.441631  57974.7037088151680     7.59    10.66          2     -0.00075  165713.198129   61033.198130
  164   164    1802186  60803.343258  57974.7037423988220    17.87    26.16          2      0.00208  165716.099524   61036.099525
  165   165    1802222  60804.557830  57974.7037564563710    10.14    12.63          3      0.00167  165717.313999   61037.314000
  166   166    1802411  60810.934270  57974.7038302577540    40.54    61.10          5     -0.00336  165723.689930   61043.689930
  167   167    1802428  60811.508121  57974.7038368995460     6.06     7.14          2      0.00517  165724.263735   61044.263735
  168   168    1802579  60816.602618  57974.7038958636290     5.64     7.80          2      0.00392  165729.357824   61049.357825
  169   169    1802582  60816.703646  57974.7038970329340    13.08    28.96          3     -0.00164  165729.458845   61049.458845
  170   170    1802610  60817.648451  57974.7039079681790     6.17    11.72          3      0.00197  165730.403574   61050.403575
  171   171    1802693  60820.448710  57974.7039403785860     6.90     9.14          2      0.00064  165733.203609   61053.203610
  172   172    1802710  60821.022296  57974.7039470173060     6.03    14.21          4      0.00147  165733.777150   61053.777150
  173   173    1802913  60827.871178  57974.7040262867840     5.59     6.56          2     -0.00069  165740.625484   61060.625485
  174   174    1802921  60828.141180  57974.7040294118020    34.49    43.66          4      0.00203  165740.895465   61060.895465
  175   175    1802942  60828.849681  57974.7040376120450   219.23   247.30          3      0.00189  165741.603909   61061.603910
  176   176    1803175  60836.710704  57974.7041285961090     9.75    10.90          2     -0.00086  165749.464305   61069.464305
  177   177    1803205  60837.722960  57974.7041403120380    20.87    24.71          3      0.00214  165750.476479   61070.476480
  178   178    1803250  60839.241126  57974.7041578834050     6.93     8.29          2     -0.00022  165751.994525   61071.994525
  179   179    1803277  60840.152099  57974.7041684270720     7.21    14.52          3      0.00064  165752.905424   61072.905425
  180   180    1803338  60842.210024  57974.7041922456450     5.69     5.69          1     -0.00336  165754.963185   61074.963185
  181   181    1803555  60849.531354  57974.7042769832580    18.28    24.05          3     -0.00206  165802.283929   61082.283930
  182   182    1803759  60856.414174  57974.7043566455300     7.65    10.38          2      0.00183  165809.166199   61089.166200
  183   183    1803874  60860.294014  57974.7044015510910    12.67    15.31          2     -0.00136  165813.045729   61093.045730
  184   184    1803954  60862.993224  57974.7044327919490     8.22    11.42          2      0.00194  165815.744724   61095.744725
  185   185    1804024  60865.354813  57974.7044601251460    13.02    18.57          3     -0.00156  165818.106124   61098.106125
  186   186    1804117  60868.492659  57974.7044964428160    10.83    26.34          4      0.00303  165821.243719   61101.243720
  187   187    1804394  60877.837940  57974.7046046057860     7.63    17.40          3     -0.00692  165830.588255   61110.588255
  188   188    1804482  60880.807238  57974.7046389726590     5.60    10.37          3      0.00181  165833.557314   61113.557315
  189   189    1804828  60892.480640  57974.7047740814850     8.89    16.85          3     -0.00344  165845.229785   61125.229785
  190   190    1805162  60903.749491  57974.7049045079940     9.65    12.58          2      0.00053  165856.497734   61136.497735
